sort_order,type,heading,items
1,skill,,Ecological Modelling
2,skill,,Spatial Analysis (GIS/Remote sensimg)
3,skill,,Species Distribution Modelling
4,skill,,Trait-Based Ecology
5,skill,,Acoustic data Analysis
5,skill,,Occupancy Analysis
6,skill,,Reproducible Workflows
7,skill,,Open Science Platforms
8,skill,,Science Communication
10,card,Highlighted Projects, Species Distribution, Migration and Climate models for conservation decisions|Government and research use-case support across ACT, QLD
20,card,Interests,Ecology engineering and invasive species management|Climate adaptation, habitat restoration, and decision-support systems|Accessible modelling tools for practitioners and communities
