category,skill
Ecological Science,Species Distribution Modelling
Ecological Science,Occupancy Analysis
Ecological Science,Trait-Based Ecology
Ecological Science,Biodiversity Assessment
Ecological Science,Ecological Field Surveys
Ecological Science,Camera Trap Monitoring
Ecological Science,Conservation Planning
Ecological Science,Restoration Ecology
Ecological Science,Ecosystem Health Indicators
Ecological Science,Nature Accounting (TNFD)
Ecological Science,Pollinator Ecology
Data & Spatial,GIS & Spatial Analysis
Data & Spatial,Remote Sensing
Data & Spatial,Statistical Modelling
Data & Spatial,R / RMarkdown
Data & Spatial,Python
Data & Spatial,Reproducible Workflows
Data & Spatial,Data Pipeline Design
Data & Spatial,Ecological Indicator Development
Data & Spatial,Carbon Density Modelling
Platforms & Tools,EcoCommons / BCCVL
Platforms & Tools,AusTraits
Platforms & Tools,QGIS / ArcGIS
Platforms & Tools,Quarto
Platforms & Tools,GitHub Actions
Platforms & Tools,HuggingFace Spaces
Platforms & Tools,MaxEnt
Communication & Engagement,Science Communication
Communication & Engagement,Open Science
Communication & Engagement,Policy & Decision Support
Communication & Engagement,Community Engagement
Communication & Engagement,Environmental Education
Communication & Engagement,Workshop Facilitation
Communication & Engagement,Citizen Science
Creative,Nature Photography
Creative,Music Composition
Creative,Field Recording
